at1,at2,at3,at4,at5,at6,at7,at8,at9
0,0,0.712673714,0.067142708,0,0.401273159,0,0,1.726672007
0,0,0.356336857,0.067142708,0,1.364328742,0.132149276,0,0.313940365
0,0,0.118778952,0.067142708,0,0,0.132149276,0,0.523233942
0,0.17812421,0.356336857,0,0,0,0,0,3.139403649
0,0,0.356336857,0,0,0.080254632,0.264298552,0,1.465055036
0,0,0.415726333,0,0,0,0.264298552,0,2.249905949
0,0,0.712673714,0,0,0.080254632,0.396447827,0.252027562,1.88364219
0.339686605,0,1.306568476,0.201428125,0,0.160509264,0.264298552,0.252027562,2.825463284
0.339686605,0,0.237557905,0,0,0.160509264,0,0.252027562,0.366263759
0.339686605,0,0.237557905,0,0,0.080254632,0.264298552,0.504055123,0.837174306
0.339686605,0,0.77206319,0.067142708,0.179282154,0.240763896,0.132149276,0,2.040612372
0,0,0.356336857,0.469998959,0.358564309,0.240763896,0.264298552,1.764192932,1.778995401
0,0,0.415726333,0.134285417,0,0.240763896,0.264298552,0,0.837174306
0.67937321,0,0.415726333,0.067142708,0,0,0,0.252027562,1.046467883
0,0,0.178168429,0.134285417,0,0.240763896,0.132149276,0.252027562,0.994144489
0,0,0.296947381,0,0,0,0.132149276,0,0.941821095
0.339686605,0,0.593894762,0.067142708,0.179282154,0.080254632,0,0,0.889497701
0,0.17812421,0.237557905,0,0,0,0,0,1.046467883
0,0.17812421,0.296947381,0.067142708,0,0,0,0,0.784850912
0,0.17812421,0.653284238,0,0.179282154,0,0,0,1.935965584
0.339686605,0,0.059389476,0.134285417,0.179282154,0,0.132149276,0.252027562,0.62788073
0,0,0,0,0,0.080254632,0,0,2.14525916
0.339686605,0,0.059389476,0.067142708,0,0,0,0.252027562,1.465055036
0,0,0,0.067142708,0,0,0,0,0.209293577
0,0,0.059389476,0.067142708,0,0.080254632,0.132149276,0,0.784850912
0,0.17812421,0.118778952,0,0,0,0,0.504055123,0.575557336
0,0,0.059389476,0.201428125,0,0.240763896,0.528597103,0,2.14525916
0,0,0.178168429,0,0,0.160509264,0.132149276,0.756082685,0.418587153
0,0,0.415726333,0.604284376,0,0.240763896,0,0.252027562,2.459199525
0,0,0.118778952,0.201428125,0,0,0,0,1.360408248
0,0,0.118778952,0.067142708,0,0,0,0.252027562,1.098791277
0,0,0.356336857,0.067142708,0,0,0.132149276,0,0.837174306
0,0,0,0.335713542,0.179282154,0.080254632,0.132149276,0.252027562,0.313940365
0,0,0.118778952,0.604284376,0,0,0,0,1.203438066
0,0,0.356336857,0,0,0,0,0,0.837174306
0,0,0.712673714,0.134285417,0,0,0,0,1.203438066
0,0,0.296947381,0,0,0,0,0,0.889497701
0,0.17812421,0.118778952,0,0,0,0.132149276,0,0.732527518
0,0,0.296947381,0,0,0.240763896,0,0,2.354552737
0,0,0.296947381,0.067142708,0.358564309,0,0,0,0.575557336
0.339686605,0,0.118778952,0.067142708,0.179282154,0.160509264,0,0,1.25576146
